community	lat	long	alt	plant_richness	effort	scale	biome	country	insularity	type	plant_origin	community_origin	prop	Tmean_ERA5	PRCPTOT_ERA5	PET_ERA5	PET_TC	P_TC	Tmax_TC	Tmin_TC	MODIS_NDVI
117	46.766667	17.233333	180	16	Limited	Regional	Temperate_seasonal_forest	Hungary	Continent	Plantpollinatorinteractions	Alien	Artificial	0.9375	10.68859942	687.7637512	1523.195618	809.4	629.6	15.716668	6.025002	0.434347107
118	48.116667	16.733333	160	61	Full	Local	Temperate_seasonal_forest	Austria	Continent	Plantpollinatorinteractions	Native	Natural	0.93442623	10.25779655	622.4547844	1426.841859	826.2	617.6	15.075005	5.333334	0.489126446
119	49.235278	1.404444	110	18	Limited	Local	Temperate_seasonal_forest	France	Continent	Plantpollinatorinteractions	Native	Natural	0.777777778	10.59154072	722.8123484	1173.262466	737.00006	660.5	15.275002	6.7083354	0.626330578
120	50	10	307	76	Limited	Regional	Temperate_seasonal_forest	Germany	Continent	Plantpollinatorinteractions	Native	Natural	0.934210526	9.026470357	786.4652797	1292.229666	683.89996	652.9	13.883334	4.7416687	0.583839669
121	50.2475	2.201389	85	16	Limited	Local	Temperate_seasonal_forest	France	Continent	Plantpollinatorinteractions	Native	Natural	0.8125	9.996766909	842.6572249	1156.421	682.3	731.3	14.008334	6.7000027	0.614698347
122	50.756722	-115.285333	2380	43	Full	Local	Temperate_grassland	Canada	Continent	Plantpollinatorinteractions	Native	Natural	0.953488372	-2.925830669	837.8046409	2501.81297	496.19998	659.9	5.308336	-6.583332	0.346158678
123	51.166667	-114.383333	1180	33	Limited	Local	Temperate_grassland	Canada	Continent	Plantpollinatorinteractions		Natural	0.939393939	3.680731792	577.805302	4189.630972	680.8	472.6	9.716668	-3.3249986	0.38491405
124	51.433333	-2.666667	120	34	Limited	Local	Boreal_forest	UK	Island	Plantpollinatorinteractions	Native	Natural	0.911764706	9.992548592	818.8568731	1074.110072	658.4	979.7	13.700002	6.641669	0.616982645
125	51.9	9.8	210	101	Limited	Regional	Temperate_seasonal_forest	Germany	Continent	Plantpollinatorinteractions	Native	Natural	0.891089109	8.555973964	861.8739968	1269.172394	666.7001	933.1	12.766669	4.6000023	0.72279504
126	52.4	1.083333	40	29	Limited	Local	Temperate_seasonal_forest	UK	Island	Plantpollinatorinteractions	Native	Natural	0.827586207	9.849410322	673.9314958	1132.317207	647.89996	641.1	13.425	6.5416675	0.54437438
127	52.716667	1.583333	0	21	Limited	Local	Temperate_seasonal_forest	UK	Island	Plantpollinatorinteractions	Native	Artificial	0.904761905	9.85017523	728.76172	1578.500239	650.1	625.4	13.250001	7.008335	0.722647934
128	53.816667	-2.016667	40	75	Limited	Regional	Temperate_seasonal_forest	UK	Island	Plantpollinatorinteractions	Native	Artificial	0.96	7.669884269	1067.022631	933.1659185	566.89996	1481.1	11.450001	4.3750014	0.643968595
129	56.0725	9.275556	85	18	Limited	Local	Temperate_seasonal_forest	Denmark	Continent	Plantpollinatorinteractions	Native	Natural	0.888888889	7.818105193	807.094864	1152.799817	574.50006	837.2	11.491669	4.558336	0.597797521
130	56.104167	9.107778	55	21	Limited	Local	Temperate_seasonal_forest	Denmark	Continent	Plantpollinatorinteractions	Native	Natural	0.857142857	7.987791787	827.0019359	1011.421676	591.3	850.5	11.708333	4.7833343	0.575459504
131	56.141667	9.39	95	15	Limited	Local	Temperate_seasonal_forest	Denmark	Continent	Plantpollinatorinteractions	Native	Natural	0.866666667	7.790806727	795.6130098	1270.840834	567.9	811.3	11.375001	4.4583364	0.637286777
132	59.734167	10.046667	300	22	Limited	Local	Boreal_forest	Norway	Continent	Plantpollinatorinteractions	Native	Natural	0.954545455	4.603569572	1023.427765	2674.342278	501.20004	920.9	8.558334	1.9000015	0.584080992
133	60	7	1500	16	Limited	Local	Boreal_forest	Norway	Continent	Plantpollinatorinteractions	Native	Natural	0.99	-1.681584709	1925.49532	117.0639258	275	1782	2.0583355	-3.6583316	0.172403306
134	60.583333	7.55	1400	8	Limited	Local	Temperate_seasonal_forest	Norway	Continent	Plantpollinatorinteractions	Native	Natural	0.99	-2.784188744	1314.884954	131.9434529	263.80002	1228	1.8416678	-4.6583323	0.134390909
135	61.1575	7.172778	15	24	Limited	Local	Boreal_forest	Norway	Continent	Plantpollinatorinteractions	Native	Natural	0.875	4.042723428	1496.73516	1160.519307	469.2	884.3	10.191668	3.6916683	0.559131404
136	68.35	18.5	985	23	Limited	Local	Tundra	Sweden	Continent	Plantpollinatorinteractions	Native	Natural	0.99	-3.559232847	1076.037823	210.7391428	230.90001	765.9	1.183335	-5.683333	-570.0926529
137	71	-52	180	17	Limited	Local	Tundra	GreenlandUummannaqIsland	Island	Plantpollinatorinteractions	Native	Natural	0.941176471	-6.326947809	412.8029154	257.415203	197.6	165.1	-2.299999	-7.6166654	-3000
138	74.500001	-21	80	32	Full	Local	Tundra	Greenland	Island	Plantpollinatorinteractions	Native	Natural	0.96875	-10.410754	387.3257803	-2.626114315	87.6	346.3	-7.024999	-13.741666	-731.0549008
139	78.883333	-75.916667	25	12	Full	Local	Tundra	CanadaEllesmereIsland	Island	Plantpollinatorinteractions	Native	Natural	0.916666667	-13.06170576	168.9746568	-5.606924454	0	0	NA	NA	-956.8105759
140	81.816667	-71.3	260	43	Limited	Local	Tundra	CanadaEllesmereIsland	Island	Plantpollinatorinteractions	Native	Natural	0.930232558	-16.09624624	139.8687702	56.21910585	85.8	113.4	-15.650001	-21.716667	-423.9002728
141	81.816667	-71.3	260	13	Limited	Local	Tundra	CanadaEllesmereIsland	Island	Plantpollinatorinteractions	Native	Natural	0.923076923	-16.09624624	139.8687702	56.21910585	85.8	113.4	-15.650001	-21.716667	-423.9002728
142	69.116333	-105.057972	8	17	Full	Local	Tundra	CanadaVictoriaIsland	Island	Plantpollinatorinteractions	Native	Natural	0.99	-12.60751067	0	0	176.4	140.3	-9.966666	-16.766665	-545.4124851
143	11.149044	-3.060131	290	23	Limited	Local	Tropical_seasonal_forestsavanna	BurkinaFaso	Continent	Plantpollinatorinteractions	Native	Natural	0.869565217	27.62530793	820.6027608	3365.462969	1885.3	919.7	34.291668	21.716667	0.325352893
144	10.807333	-3.077667	250	28	Limited	Local	Tropical_seasonal_forestsavanna	BurkinaFaso	Continent	Plantpollinatorinteractions	Native	Natural	0.857142857	27.74733788	794.2781855	3271.326551	1848.9	941.7	34.233337	21.941671	0.424292562
145	11.109719	-1.485328	280	42	Limited	Local	Tropical_seasonal_forestsavanna	BurkinaFaso	Continent	Plantpollinatorinteractions	Native	Natural	0.761904762	27.49369054	807.7696592	3390.67018	1861.1	967.7	34.158337	21.975004	0.422440496
146	11.261306	-74.181083	20	27	Limited	Local	Tropical_seasonal_forestsavanna	Colombia	Continent	Plantpollinatorinteractions	Native	Natural	0.851851852	26.8417445	0	0	1751.7001	961	31.808336	23.016668	0.570365289
147	21.609444	-88.036667	5	27	Limited	Local	Tropical_seasonal_forestsavanna	Mexico	Continent	Plantpollinatorinteractions	Native	Natural	0.740740741	25.50637896	0	0	0	0	NA	NA	-1586.70338
148	26.9925	104.753889	2685	26	Full	Local	Temperate_grassland	China	Continent	Plantpollinatorinteractions	Native	Natural	0.923076923	9.963217262	1356.619753	1201.804937	780.5	993.2	13.783336	5.466669	0.588426446
149	44.422981	-123.312051	77	15	Limited	Local	Temperate_rain_forest	USA	Continent	Plantpollinatorinteractions	Native	Natural	0.99	11.00529017	1252.060665	3106.393545	913.80005	1229.5	17.350002	6.0750012	0.547528099
150	46.90136	-123.049121	70	15	Limited	Local	Temperate_rain_forest	USA	Continent	Plantpollinatorinteractions	Native	Natural	0.99	9.992069171	1379.29768	4372.474707	777.4	1420.4	15.983335	4.916668	0.646766116
151	-31.962778	115.831299	45	85	Limited	Regional	Woodlandshrubland	Australia	Continent	Plantpollinatorinteractions	Native	Natural	0.905882353	18.16221747	549.007388	2428.471367	1694.9	731.7	23.941671	13.391669	0.625394215
152	27.002456	100.180517	3240	29	Limited	Local	Temperate_grassland	China	Continent	Plantpollinatorinteractions	Native	Natural	0.793103448	7.793107359	1477.190055	1938.568035	747.4	800.4	12.233335	0.9000028	0.717690083
153	-7.376542	-39.304806	950	67	Limited	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plantpollinatorinteractions	Native	Natural	0.492537313	22.11467896	1126.108332	8691.198263	1371.8999	1007.6	26.324999	16.050001	0.756063636
154	50.201429	17.412062	635	67	Limited	Regional	Temperate_seasonal_forest	Czech Republic	Continent	Plant-pollinator interactions	Native	Natural	0.925373134	6.635814839	963.6501298	1130.726599	585.8	739.8	10.216669	1.933335	0.575476033
155	4.203917	9.17	650	45	Limited	Local	Tropical_rain_forest	Cameroon	Continent	Plant-pollinator interactions	Native	Natural	0.733333333	15.41726468	3988.984073	1914.555018	983.60004	2985.2	17.84167	8.700001	0.349457851
156	4.203917	9.17	1100	51	Limited	Local	Tropical_rain_forest	Cameroon	Continent	Plant-pollinator interactions	Native	Natural	0.705882353	15.41726468	3988.984073	1914.555018	983.60004	2985.2	17.84167	8.700001	0.349457851
157	4.203917	9.17	1450	39	Limited	Local	Tropical_rain_forest	Cameroon	Continent	Plant-pollinator interactions	Native	Natural	0.769230769	15.41726468	3988.984073	1914.555018	983.60004	2985.2	17.84167	8.700001	0.349457851
158	4.203917	9.17	2200	34	Limited	Local	Tropical_rain_forest	Cameroon	Continent	Plant-pollinator interactions	Native	Natural	0.764705882	15.41726468	3988.984073	1914.555018	983.60004	2985.2	17.84167	8.700001	0.349457851
159	-30.086389	-51.094167	100	66	Limited	Local	Tropical_seasonal_forestsavanna	Brazil	Continent	Plant-pollinator interactions	Native	Natural	0.848484848	18.85702692	1558.919564	1850.154495	1116.4	1554.3	24.150002	15.091667	0.664676033
160	35.341031	-111.683217	2350	33	Limited	Local	Subtropical_desert	USA	Continent	Plant-pollinator interactions	Native	Natural	0.939393939	6.565587001	671.2096511	8789.452911	799.39996	722.6	9.508334	-3.5083323	0.247945455
161	35.341031	-111.683217	2625	38	Limited	Local	Subtropical_desert	USA	Continent	Plant-pollinator interactions	Native	Natural	0.947368421	6.565587001	671.2096511	8789.452911	799.39996	722.6	9.508334	-3.5083323	0.247945455
162	35.341031	-111.683217	2925	26	Limited	Local	Subtropical_desert	USA	Continent	Plant-pollinator interactions	Native	Natural	0.961538462	6.565587001	671.2096511	8789.452911	799.39996	722.6	9.508334	-3.5083323	0.247945455
