community	lat	long	alt	plant_richness	effort	scale	biome	country	insularity	type	plant_origin	community_origin	prop
43	-3.066667	37.35	3880	3	Full	Regional	Tropical_seasonal_forestsavanna	Tanzania	Continent	Plantpollinatorinteractions	NA	NaturalArtificial	0.99
44	-3.066667	37.35	4135	9	Full	Regional	Tropical_seasonal_forestsavanna	Tanzania	Continent	Plantpollinatorinteractions	NA	NaturalArtificial	0.99
45	-0.616667	-90.3	305	47	Limited	Regional	Tropical_rain_forest	EcuadorGalápagosIsland	Island	Floristicsurvey	Native	Natural	0.808510638
46	0.283333	37.866667	1800	81	Limited	Local	Tropical_seasonal_forestsavanna	Kenya	Continent	Plantpollinatorinteractions	Native	Natural	0.802469136
47	0.283333	34.9	1600	57	Full	Regional	Tropical_seasonal_forestsavanna	Kenya	Continent	Plantpollinatorinteractions	NA	NaturalArtificial	0.894736842
48	4.033333	113.833333	200	265	Full	Local	Tropical_rain_forest	Malaysia	Island	Plantpollinatorinteractions	Native	Natural	0.618867925
49	5.000001	117.833333	100	40	Limited	Local	Tropical_rain_forest	Malaysia	Island	Plantpollinatorinteractions	Native	Natural	0.675
50	5.583333	-61.716667	1350	49	Limited	Local	Tropical_rain_forest	Venezuela	Continent	Floristicsurvey	Native	Natural	0.632653061
51	8.191694	37.05925	1550	135	Limited	Regional	Subtropical_desert	Ethiopia	Continent	Plantpollinatorinteractions	NA	NaturalArtificial	0.881481481
52	8.35	80.35	100	42	Limited	Regional	Tropical_rain_forest	SriLanka	Island	Plantpollinatorinteractions	NA	Artificial	0.80952381
53	8.666667	77.55	1250	81	Limited	Local	Tropical_rain_forest	India	Continent	Plantpollinatorinteractions	Native	Natural	0.716049383
54	8.766667	-70.883333	3720	29	Limited	Local	Tropical_rain_forest	Venezuela	Continent	Plantpollinatorinteractions	Native	Natural	0.862068966
55	8.933333	-67.416667	74	28	Limited	Local	Tropical_seasonal_forestsavanna	Venezuela	Continent	Plantpollinatorinteractions	Native	Natural	0.571428571
