Sampling	Lat	Long
Species	-23.223812	-46.934811
Species	23.206063	104.816615
Species	-23.334862	-45.147582
Species	-23.323761	-45.149476
Species	-23.364626	-44.823567
Species	-23.366667	-44.833333
Species	-23.367611	-44.828345
Species	-23.435556	-45.222778
Species	-23.365856	-44.822726
Species	-23.545995	-45.06249
Species	-23.742975	-45.824911
Species	-24.25468	-48.385373
Species	-24.33637	-48.437775
Species	24.533333	114.45
Species	24.583333	117.883333
Species	-24.866389	-65.365833
Species	-24.771368	46.77966
Species	-25.141389	30.6025
Species	-25.343611	-48.993889
Species	-25.383333	31.25
Species	-25.44275	-49.236055
Species	25.516667	91.866667
Species	25.600342	-80.39604
Species	-25.688889	27.984722
Species	25.559271	-80.449794
Species	26.069547	-98.145171
Species	26.185667	-81.407034
Species	26.25	110.516667
Species	26.618898	114.092745
Species	24.6	114.5
Species	26.383333	110.516667
Species	26.516667	107.883333
Species	26.516667	114.133333
Species	26.516667	-98.85
Species	26.637808	99.906394
Species	26.633333	127.933333
Species	-26.833333	-65.333333
Species	26.997082	100.199494
Species	26.658197	142.157211
Species	27.002778	100.201389
Species	27.004167	100.183333
Species	27.016667	-81.366667
Species	27.166667	77.966667
Species	-27.530556	-48.5125
Species	-27.545637	153.04716
Species	-27.633333	32.566667
Species	-27.65	17.766667
Species	-27.545667	17.881367
Species	27.825833	99.993889
Species	27.816667	99.633333
Species	27.866667	99.666667
Species	27.905556	99.636389
Species	27.184558	-81.350413
Species	27.843824	99.967861
Species	20.966667	-89.616667
Species	-28.862891	29.682206
Species	-28.257686	153.113375
Species	28.466667	129.683333
Species	28.533333	-16.2
Species	28.533333	-16.316667
Species	-33.327721	26.532243
Species	28.614121	77.168533
Species	28.684727	77.217059
Species	28.753171	111.23422
Species	-28.770083	31.466111
Species	-29.055693	26.21103
Species	-29.252175	134.593197
Species	-29.1	30.033333
Species	-31.01585	30.148137
Species	-29.316667	30.283333
Species	29.016667	-110.95
Species	29.021729	-110.956696
Species	-33.580244	18.358469
Species	-29.149444	31.575556
Species	-29.289209	30.295518
Species	-29.316667	30.283333
Species	-29.416667	29.466667
Species	-29.389973	115.069454
Species	-29.4	30.183333
Species	-29.483333	30.3
Species	-29.501389	-50.166667
Species	-29.511861	30.5135
Species	-29.5	30.466667
Species	29.516667	113.266667
Species	-29.566667	17.95
Species	-29.58801	29.292222
Species	-29.656699	30.395609
Species	29.643008	-82.355424
Species	-29.584594	29.288655
Species	-29.804167	30.828889
Species	29.883333	-97.95
Species	-28.752245	28.969016
Species	-29.190044	29.500644
Species	-29.982433	30.248633
Species	-29.960828	-71.348529
Species	-29.772955	30.829855
Species	29.819242	106.42642
Species	-2.983603	-60.051984
Species	43.314444	-4.465
Species	3.380215	-61.690386
Species	-2.578278	-44.280667
Species	3.816592	-67.879792
Species	3.816667	-59.016667
Species	3.87542	-76.436566
Species	3.880989	-76.431536
Species	-0.527476	-77.97611
Species	-3.966667	-79.066667
Species	30	100.1893
Species	-30.288517	17.744985
Species	30.321	119.434
Species	-30.033333	-51.216667
Species	30	-97.966667
Species	30.019826	-84.98775
Species	-35.016667	150.816667
Species	39.063442	-78.064944
